State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change
1,3,10,88101,1,30.497478,-87.880258,NAD83,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,Daily Mean,R & P Model 2025 PM2.5 Sequential w/WINS - GRAVIMETRIC,2014,Micrograms/cubic meter (LC),No Events,117,96,Y,117,122,0,5,0,0,Certified,0,8.906838,3.780753,19.1,8/15/2014 0:00,19.1,11/16/2014 0:00,17.3,7/1/2014 0:00,17.3,7/7/2014 0:00,,,,,19.1,17.3,16.4,14.8,10.9,7.8,4.8,"FAIRHOPE, Alabama","FAIRHOPE HIGH SCHOOL, 1 PIRATE DRIVE, FAIRHOPE,  ALABAMA",Alabama,Baldwin,Fairhope,"Daphne-Fairhope-Foley, AL",11/8/2021
1,27,1,88101,1,33.284928,-85.803608,NAD83,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,Daily Mean,R & P Model 2025 PM2.5 Sequential w/WINS - GRAVIMETRIC,2014,Micrograms/cubic meter (LC),No Events,114,93,Y,114,122,0,8,0,0,Certified,0,8.903509,3.592271,20.9,8/6/2014 0:00,20.6,7/1/2014 0:00,17.2,2/10/2014 0:00,16.6,5/26/2014 0:00,,,,,20.6,17.2,15.1,13.5,10.8,8.7,4.6,ASHLAND,ASHLAND AIRPORT,Alabama,Clay,Ashland,,11/8/2021
1,33,1002,88101,1,34.762619,-87.638097,NAD83,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,Daily Mean,R & P Model 2025 PM2.5 Sequential w/WINS - GRAVIMETRIC,2014,Micrograms/cubic meter (LC),No Events,116,94,Y,115,122,0,7,0,0,Certified,0,9.290517,4.379239,23.9,8/21/2014 0:00,22.1,3/9/2014 0:00,21.2,7/1/2014 0:00,19,7/13/2014 0:00,,,,,22.1,21.2,19,14.4,11.5,8.5,4.4,MUSCLE SHOALS,WILSON DAM RD AND 2ND ST.,Alabama,Colbert,Muscle Shoals,"Florence-Muscle Shoals, AL",11/8/2021
1,49,1003,88101,1,34.288567,-85.969858,NAD83,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,Daily Mean,R & P Model 2025 PM2.5 Sequential w/WINS - GRAVIMETRIC,2014,Micrograms/cubic meter (LC),No Events,109,89,N,109,122,0,13,0,0,Certified,0,9.600917,3.837449,20.9,7/1/2014 0:00,19.6,3/15/2014 0:00,19.2,8/6/2014 0:00,19.1,3/9/2014 0:00,,,,,19.6,19.2,18.1,15.2,11.2,9.2,5.2,CROSSVILLE,"13112 HWY.68 , CROSSVILLE AL. 35962",Alabama,DeKalb,Crossville,"Fort Payne, AL",11/8/2021
1,55,10,88101,1,33.991494,-85.992647,NAD83,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,Daily Mean,R & P Model 2025 PM2.5 Sequential w/WINS - GRAVIMETRIC,2014,Micrograms/cubic meter (LC),No Events,105,86,N,105,122,0,17,0,0,Certified,0,9.335238,3.553194,22.7,3/15/2014 0:00,19.2,8/6/2014 0:00,19.1,6/16/2014 0:00,16.2,11/13/2014 0:00,,,,,19.2,19.1,14.7,13.9,11.2,9.1,5,GADSDEN C. COLLEGE,"1001 WALLACE DRIVE, GADSDEN, AL 35902",Alabama,Etowah,Gadsden,"Gadsden, AL",1/6/2022
1,69,3,88101,1,31.224783,-85.390789,NAD83,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,Daily Mean,R & P Model 2025 PM2.5 Sequential w/WINS - GRAVIMETRIC,2014,Micrograms/cubic meter (LC),No Events,111,91,N,111,122,0,11,0,0,Certified,0,8.702703,3.634143,20.2,7/1/2014 0:00,19.9,10/23/2014 0:00,19.5,7/7/2014 0:00,17.5,11/4/2014 0:00,,,,,19.9,19.5,16.5,13,10.8,8,4.9,DOTHAN (CIVIC CENTER),126 NORTH ST. ANDREWS STREET (CIVIC CENTER),Alabama,Houston,Dothan,"Dothan, AL",11/8/2021
1,73,23,88101,1,33.553056,-86.815,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,Daily Mean,BGI Models PQ200-VSCC or PQ200A-VSCC - Gravimetric,2014,Micrograms/cubic meter (LC),No Events,121,99,Y,121,122,0,2,0,0,Certified,0,11.698347,5.027491,34.2,7/1/2014 0:00,28.3,10/26/2014 0:00,25.9,6/16/2014 0:00,25.5,8/6/2014 0:00,,,,,28.3,25.9,20.5,16.8,13.8,11.3,6.7,North Birmingham,"NO. B'HAM,SOU R.R., 3009 28TH ST. NO.",Alabama,Jefferson,Birmingham,"Birmingham-Hoover, AL",11/8/2021
1,73,23,88101,2,33.553056,-86.815,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,Daily Mean,BGI Models PQ200-VSCC or PQ200A-VSCC - Gravimetric,2014,Micrograms/cubic meter (LC),No Events,61,100,Y,61,61,0,0,0,0,Certified,0,11.198361,5.039328,28,10/26/2014 0:00,26.1,6/16/2014 0:00,21.2,11/13/2014 0:00,20.1,8/15/2014 0:00,,,,,28,26.1,20.1,17.6,13.5,10.1,5.8,North Birmingham,"NO. B'HAM,SOU R.R., 3009 28TH ST. NO.",Alabama,Jefferson,Birmingham,"Birmingham-Hoover, AL",6/14/2022
1,73,23,88101,3,33.553056,-86.815,WGS84,PM2.5 - Local Conditions,24-HR BLK AVG,PM25 24-hour 2012,Daily Mean,,2014,Micrograms/cubic meter (LC),No Events,316,87,N,316,365,0,0,0,0,Requested but not yet concurred,0,11.549367,4.704867,27.3,6/30/2014 0:00,26.9,8/7/2014 0:00,26.8,10/26/2014 0:00,26.8,10/27/2014 0:00,,,,,26.8,23.4,20.4,17.8,14.3,10.8,6.1,North Birmingham,"NO. B'HAM,SOU R.R., 3009 28TH ST. NO.",Alabama,Jefferson,Birmingham,"Birmingham-Hoover, AL",4/30/2022
1,73,1005,88101,1,33.331111,-87.003611,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,Daily Mean,BGI Models PQ200-VSCC or PQ200A-VSCC - Gravimetric,2014,Micrograms/cubic meter (LC),No Events,90,74,N,90,122,0,33,0,0,Certified,0,10.484444,4.436415,28.9,7/1/2014 0:00,21.5,10/26/2014 0:00,20.6,6/16/2014 0:00,20.1,5/26/2014 0:00,,,,,28.9,21.5,18.6,16.9,12.3,10.1,5.5,McAdory, ROUTE 8 MCADORY,Alabama,Jefferson,,"Birmingham-Hoover, AL",11/8/2021
1,73,1005,88101,2,33.331111,-87.003611,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,Daily Mean,BGI Models PQ200-VSCC or PQ200A-VSCC - Gravimetric,2014,Micrograms/cubic meter (LC),No Events,45,74,N,45,61,0,17,0,0,Certified,0,10.191111,4.297929,21.7,10/26/2014 0:00,20.5,6/16/2014 0:00,17.9,8/21/2014 0:00,17.6,12/19/2014 0:00,,,,,21.7,21.7,17.9,15.5,12.4,10.1,5.1,McAdory, ROUTE 8 MCADORY,Alabama,Jefferson,,"Birmingham-Hoover, AL",11/8/2021
1,73,1010,88101,1,33.545278,-86.549167,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,Daily Mean,BGI Models PQ200-VSCC or PQ200A-VSCC - Gravimetric,2014,Micrograms/cubic meter (LC),No Events,62,100,Y,61,61,0,2,0,0,Certified,0,10.072581,4.007091,24.5,4/11/2014 0:00,22,10/26/2014 0:00,18.6,6/16/2014 0:00,15.8,8/21/2014 0:00,,,,,24.5,22,15.8,14.6,11.9,10.1,5.7,Leeds, 201 ASHVILLE ROAD,Alabama,Jefferson,Leeds,"Birmingham-Hoover, AL",6/15/2022
1,73,1010,88101,2,33.545278,-86.549167,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,Daily Mean,BGI Models PQ200-VSCC or PQ200A-VSCC - Gravimetric,2014,Micrograms/cubic meter (LC),No Events,62,98,Y,60,61,0,2,0,0,Certified,0,9.996774,4.01795,23.7,4/11/2014 0:00,22.1,10/26/2014 0:00,18.4,6/16/2014 0:00,15.7,2/10/2014 0:00,,,,,23.7,22.1,18.4,15.3,12.2,9.9,5.9,Leeds, 201 ASHVILLE ROAD,Alabama,Jefferson,Leeds,"Birmingham-Hoover, AL",5/17/2022
1,73,2003,88101,1,33.499722,-86.924167,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,Daily Mean,BGI Models PQ200-VSCC or PQ200A-VSCC - Gravimetric,2014,Micrograms/cubic meter (LC),No Events,122,100,Y,122,122,0,3,0,0,Certified,0,11.265574,4.600499,33.4,7/1/2014 0:00,23.8,10/26/2014 0:00,21.5,5/26/2014 0:00,20.4,6/16/2014 0:00,,,,,23.8,21.5,18.7,16.8,13.8,10.7,6.3,Wylam,1242 JERSEY ST WYLAM AL,Alabama,Jefferson,Birmingham,"Birmingham-Hoover, AL",11/8/2021
