State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change
1,3,10,44201,1,30.497478,-87.880258,NAD83,Ozone,1 HOUR,Ozone 1-hour 1979,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - ULTRA VIOLET,2015,Parts per million,No Events,5199,91,Y,224,245,0,681,0,0,Certified,0,0.044598,0.012423,0.091,10/16/2015 14:00,0.074,8/3/2015 14:00,0.07,10/15/2015 13:00,0.069,4/30/2015 17:00,,,,,0.07,0.068,0.064,0.06,0.054,0.046,0.028,"FAIRHOPE, Alabama","FAIRHOPE HIGH SCHOOL, 1 PIRATE DRIVE, FAIRHOPE,  ALABAMA",Alabama,Baldwin,Fairhope,"Daphne-Fairhope-Foley, AL",11/11/2021
1,33,1002,44201,1,34.762619,-87.638097,NAD83,Ozone,1 HOUR,Ozone 1-hour 1979,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - ULTRA VIOLET,2015,Parts per million,No Events,5522,98,Y,241,245,0,358,0,0,Certified,0,0.041278,0.011285,0.068,9/18/2015 14:00,0.067,8/4/2015 12:00,0.064,8/3/2015 11:00,0.062,4/30/2015 14:00,,,,,0.064,0.062,0.058,0.056,0.049,0.042,0.026,MUSCLE SHOALS,WILSON DAM RD AND 2ND ST.,Alabama,Colbert,Muscle Shoals,"Florence-Muscle Shoals, AL",11/11/2021
1,49,9991,44201,1,34.289001,-85.970065,NAD83,Ozone,1 HOUR,Ozone 1-hour 1979,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - ULTRA VIOLET,2015,Parts per million,No Events,8217,98,Y,240,245,0,543,0,0,Certified,0,0.045133,0.010847,0.075,5/14/2015 14:00,0.072,5/3/2015 19:00,0.069,5/9/2015 15:00,0.068,5/8/2015 12:00,,,,,0.069,0.068,0.063,0.058,0.053,0.047,0.04,Sand Mountain,"Sand Mountain Alabama Agricultural Experiment Station, Crossville, AL 35962",Alabama,DeKalb,Crossville,"Fort Payne, AL",11/11/2021
1,51,1,44201,1,32.498567,-86.136587,WGS84,Ozone,1 HOUR,Ozone 1-hour 1979,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - ULTRA VIOLET,2015,Parts per million,No Events,5452,96,Y,235,245,0,428,0,0,Certified,0,0.042383,0.011272,0.086,8/4/2015 12:00,0.073,5/9/2015 16:00,0.069,5/2/2015 15:00,0.068,5/8/2015 13:00,,,,,0.069,0.063,0.06,0.056,0.049,0.043,0.028,"DBT, WETUMPKA","DEWBERRY TRAIL, ELMORE CO., WETUMPKA,  ALABAMA",Alabama,Elmore,Wetumpka,"Montgomery, AL",11/11/2021
1,55,11,44201,1,33.904039,-86.053867,NAD83,Ozone,1 HOUR,Ozone 1-hour 1979,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - ULTRA VIOLET,2015,Parts per million,No Events,5456,98,Y,239,245,0,424,0,0,Was Certified but data changed,0,0.043883,0.011334,0.074,5/3/2015 15:00,0.071,5/13/2015 14:00,0.069,8/5/2015 11:00,0.067,5/14/2015 12:00,,,,,0.069,0.066,0.062,0.059,0.051,0.044,0.029,SOUTHSIDE,"1450 PARKER ANDERSON LANE, SOUTHSIDE, AL 35907",Alabama,Etowah,Southside,"Gadsden, AL",11/11/2021
1,69,4,44201,1,31.188933,-85.423094,NAD83,Ozone,1 HOUR,Ozone 1-hour 1979,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - ULTRA VIOLET,2015,Parts per million,No Events,5575,100,Y,245,245,0,305,0,0,Certified,0,0.040278,0.011308,0.07,5/23/2015 14:00,0.066,3/8/2015 15:00,0.066,8/26/2015 17:00,0.065,5/2/2015 15:00,,,,,0.066,0.065,0.059,0.057,0.047,0.04,0.027,DOTHAN,161 BUFORD LANE,Alabama,Houston,Dothan,"Dothan, AL",11/11/2021
1,73,23,44201,1,33.553056,-86.815,WGS84,Ozone,1 HOUR,Ozone 1-hour 1979,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - ULTRA VIOLET ABSORPTION,2015,Parts per million,No Events,8608,100,Y,244,245,0,152,0,0,Certified,0,0.047164,0.013801,0.098,8/4/2015 14:00,0.091,8/8/2015 12:00,0.086,5/8/2015 15:00,0.08,5/9/2015 12:00,,,,,0.086,0.08,0.069,0.064,0.055,0.048,0.039,North Birmingham,"NO. B'HAM,SOU R.R., 3009 28TH ST. NO.",Alabama,Jefferson,Birmingham,"Birmingham-Hoover, AL",11/11/2021
1,73,1003,44201,1,33.485556,-86.915,WGS84,Ozone,1 HOUR,Ozone 1-hour 1979,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - ULTRA VIOLET,2015,Parts per million,No Events,6029,98,Y,241,245,0,1267,0,0,Certified,0,0.044971,0.012967,0.088,8/4/2015 14:00,0.078,8/8/2015 11:00,0.075,5/14/2015 10:00,0.074,5/7/2015 13:00,,,,,0.075,0.072,0.067,0.061,0.053,0.045,0.03,Fairfield,"FAIRFIELD, PFD, 5229 COURT B",Alabama,Jefferson,Fairfield,"Birmingham-Hoover, AL",11/11/2021
1,73,1005,44201,1,33.331111,-87.003611,WGS84,Ozone,1 HOUR,Ozone 1-hour 1979,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),Multiple Methods Used,2015,Parts per million,No Events,5591,100,Y,244,245,0,1705,0,0,Certified,0,0.044041,0.012948,0.082,9/4/2015 14:00,0.079,6/24/2015 13:00,0.074,5/14/2015 14:00,0.072,6/6/2015 10:00,,,,,0.074,0.072,0.066,0.061,0.053,0.044,0.029,McAdory, ROUTE 8 MCADORY,Alabama,Jefferson,,"Birmingham-Hoover, AL",11/11/2021
1,73,1010,44201,1,33.545278,-86.549167,WGS84,Ozone,1 HOUR,Ozone 1-hour 1979,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - ULTRA VIOLET,2015,Parts per million,No Events,5797,100,Y,244,245,0,1499,0,0,Certified,0,0.04375,0.012896,0.083,6/25/2015 13:00,0.074,5/2/2015 17:00,0.074,5/9/2015 14:00,0.072,7/27/2015 10:00,,,,,0.074,0.071,0.064,0.06,0.052,0.044,0.03,Leeds, 201 ASHVILLE ROAD,Alabama,Jefferson,Leeds,"Birmingham-Hoover, AL",11/11/2021
1,73,2006,44201,1,33.386389,-86.816667,WGS84,Ozone,1 HOUR,Ozone 1-hour 1979,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - ULTRA VIOLET,2015,Parts per million,No Events,5970,100,Y,245,245,0,1326,0,0,Certified,0,0.0456,0.014507,0.092,7/17/2015 12:00,0.087,6/24/2015 16:00,0.085,6/25/2015 12:00,0.081,5/8/2015 15:00,,,,,0.085,0.078,0.069,0.064,0.055,0.045,0.029,Hoover,"3425 TAMASSEE LANE, HOOVER, AL 35226",Alabama,Jefferson,Hoover,"Birmingham-Hoover, AL",11/11/2021
1,73,5003,44201,1,33.801667,-86.9425,WGS84,Ozone,1 HOUR,Ozone 1-hour 1979,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - ULTRA VIOLET ABSORPTION,2015,Parts per million,No Events,5723,100,Y,244,245,0,1573,0,0,Certified,0,0.045033,0.012314,0.084,5/14/2015 13:00,0.078,5/8/2015 14:00,0.076,5/4/2015 15:00,0.075,6/10/2015 12:00,,,,,0.076,0.074,0.065,0.061,0.053,0.046,0.032,Corner,10005 CORNER SCHOOL ROAD,Alabama,Jefferson,,"Birmingham-Hoover, AL",11/11/2021
1,73,6002,44201,1,33.578333,-86.773889,WGS84,Ozone,1 HOUR,Ozone 1-hour 1979,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - ULTRA VIOLET ABSORPTION,2015,Parts per million,No Events,5723,94,Y,231,245,0,1573,0,0,Certified,0,0.046455,0.013198,0.092,8/4/2015 15:00,0.085,5/8/2015 11:00,0.082,5/9/2015 12:00,0.082,5/14/2015 12:00,,,,,0.082,0.074,0.068,0.063,0.054,0.048,0.033,Tarrant Elementary School,"TARRANT, ELEM. SCH., 1269 PORTLAND STREE",Alabama,Jefferson,Tarrant (corporate name for Tarrant City),"Birmingham-Hoover, AL",11/11/2021
1,89,14,44201,1,34.68547,-86.58816,WGS84,Ozone,1 HOUR,Ozone 1-hour 1979,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - ULTRA VIOLET ABSORPTION,2015,Parts per million,No Events,5715,98,Y,241,245,0,165,0,0,Certified,0,0.046743,0.010561,0.071,9/19/2015 12:00,0.07,5/14/2015 13:00,0.069,9/18/2015 12:00,0.068,6/6/2015 14:00,,,,,0.069,0.067,0.064,0.061,0.052,0.047,0.033,HUNTSVILLE OLD AIRPORT,3720 Russell Brown Dr SW,Alabama,Madison,Huntsville,"Huntsville, AL",11/11/2021
1,89,22,44201,1,34.772727,-86.756174,WGS84,Ozone,1 HOUR,Ozone 1-hour 1979,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - ULTRA VIOLET ABSORPTION,2015,Parts per million,No Events,5824,99,Y,243,245,0,56,0,0,Certified,0,0.043905,0.010472,0.074,9/18/2015 15:00,0.067,5/14/2015 12:00,0.065,5/4/2015 11:00,0.065,5/8/2015 14:00,,,,,0.065,0.065,0.062,0.056,0.051,0.045,0.03,HUNTSVILLE CAPSHAW ROAD,1130 Capshaw Road,Alabama,Madison,Huntsville,"Huntsville, AL",11/11/2021
1,97,3,44201,1,30.770181,-88.087761,NAD83,Ozone,1 HOUR,Ozone 1-hour 1979,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - ULTRA VIOLET,2015,Parts per million,No Events,5474,97,Y,238,245,0,406,0,0,Certified,0,0.04255,0.013408,0.078,6/10/2015 13:00,0.076,9/2/2015 13:00,0.071,8/1/2015 15:00,0.071,9/4/2015 14:00,,,,,0.071,0.07,0.066,0.061,0.051,0.041,0.026,CHICKASAW,"Iroquois and Azalea, CHICKASAW, MOBILE CO.,  ALABAMA",Alabama,Mobile,Chickasaw,"Mobile, AL",11/11/2021
1,97,2005,44201,1,30.474305,-88.141022,NAD83,Ozone,1 HOUR,Ozone 1-hour 1979,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - ULTRA VIOLET,2015,Parts per million,No Events,5440,98,Y,239,245,0,440,0,0,Certified,0,0.044272,0.011958,0.081,10/16/2015 13:00,0.071,10/14/2015 15:00,0.07,8/3/2015 13:00,0.069,6/6/2015 12:00,,,,,0.07,0.067,0.065,0.061,0.053,0.044,0.028,BAY ROAD,"BAY RD. ,MOBILE AL.",Alabama,Mobile,Theodore,"Mobile, AL",11/11/2021
1,101,1002,44201,1,32.412811,-86.263394,NAD83,Ozone,1 HOUR,Ozone 1-hour 1979,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - ULTRA VIOLET,2015,Parts per million,No Events,5519,99,Y,242,245,0,361,0,0,Certified,0,0.044463,0.012326,0.085,5/9/2015 15:00,0.081,8/4/2015 11:00,0.074,5/8/2015 12:00,0.073,6/25/2015 16:00,,,,,0.074,0.07,0.064,0.059,0.052,0.045,0.028,"MOMS, ADEM","1350 COLISEUM BLVD, MONTGOMERY, ALABAMA",Alabama,Montgomery,Montgomery,"Montgomery, AL",11/11/2021
