OID,GISJOIN,State,cofips,AREA,YEAR,AREA11,AREA12,AREA21,AREA22,AREA23,AREA24,AREA31,AREA41,AREA42,AREA43,AREA52,AREA71,AREA81,AREA82,AREA90,AREA95,PROP11,PROP12,PROP21,PROP22,PROP23,PROP24,PROP31,PROP41,PROP42,PROP43,PROP52,PROP71,PROP81,PROP82,PROP90,PROP95
-1,G3100330,310,31033,3098673900,2011,645300,,113255100,9849600,3141900,962100,1019700,1387800,291600,20700,675000,1007555400,3125700,1950705000,1771200,4267800,0.00020825,,0.036549538,0.00317865,0.00101395,0.000310488,0.000329076,0.000447869,9.41E-05,6.68E-06,0.000217835,0.325156965,0.001008722,0.629528974,0.000571599,0.001377299
-1,G3100350,310,31035,1485453600,2011,10262700,,62454600,12512700,1645200,561600,320400,11973600,,,4500,238336200,5814900,1122418800,4338000,14810400,0.006908799,,0.042044127,0.008423488,0.00110754,0.000378066,0.000215692,0.008060568,,,3.03E-06,0.160446748,0.003914562,0.755606772,0.00292032,0.009970288
-1,G3100370,310,31037,1078772400,2011,12284100,,40593600,9994500,2129400,768600,121500,25516800,,79200,521100,145411200,5366700,818881200,16237800,866700,0.01138711,,0.037629439,0.009264698,0.00197391,0.000712477,0.000112628,0.023653553,,7.34E-05,0.000483049,0.134793215,0.004974821,0.759086161,0.015052109,0.000803413
-1,G3100390,310,31039,1488337200,2011,13320900,,57697200,14827500,1688400,627300,363600,27009900,,163800,162900,143451000,37885500,1174765500,15858900,514800,0.00895019,,0.038766215,0.00996246,0.00113442,0.000421477,0.000244299,0.018147702,,0.000110056,0.000109451,0.0963834,0.025454917,0.789314075,0.010655448,0.000345889
-1,G3100410,310,31041,6671680200,2011,15349500,,181511100,31830300,4301100,1224000,3364200,72834300,3150000,32133600,396900,4905063000,42804000,1273592700,36367200,67758300,0.002300695,,0.027206205,0.004770957,0.00064468,0.000183462,0.000504251,0.010916935,0.000472145,0.004816418,5.95E-05,0.735206553,0.006415775,0.190895346,0.005450981,0.010156107
-1,G3100430,310,31043,692553600,2011,13790700,,26379000,17678700,4152600,1585800,70200,47151900,,37800,18000,129270600,10539900,432432900,6849000,2596500,0.019912827,,0.038089471,0.025526833,0.00599607,0.002289787,0.000101364,0.068084117,,5.46E-05,2.60E-05,0.186657899,0.015218894,0.624403512,0.009889487,0.003749168
-1,G3100450,310,31045,3628768500,2011,14786100,,53701200,19420200,3066300,827100,12671100,8803800,264402000,4681800,39935700,2800970100,19243800,311334300,21923100,53001900,0.004074688,,0.01479874,0.005351733,0.000844997,0.000227929,0.003491846,0.002426112,0.072862736,0.00129019,0.011005304,0.771878972,0.005303121,0.085796132,0.006041471,0.01460603
-1,G3100470,310,31047,2640327300,2011,24606000,,85239900,33736500,9882900,2461500,1518300,6547500,122400,946800,3296700,1099387800,7431300,1268760600,86955300,9433800,0.009319299,,0.032283838,0.012777393,0.003743059,0.000932271,0.000575042,0.002479806,4.64E-05,0.000358592,0.001248595,0.416383151,0.002814537,0.480531561,0.032933531,0.003572966
-1,G3100490,310,31049,1141439400,2011,2453400,,40932900,2839500,523800,162900,738000,1363500,68400,18900,150300,280597500,1571400,803322000,5366700,1330200,0.002149391,,0.035860774,0.002487648,0.000458894,0.000142715,0.000646552,0.001194544,5.99E-05,1.66E-05,0.000131676,0.245827768,0.001376683,0.703779806,0.004701695,0.001165371
-1,G3100510,310,31051,1250846100,2011,27702000,,41473800,12901500,671400,210600,213300,66111300,13500,135000,9000,364314600,21784500,699840000,11556000,3909600,0.022146609,,0.033156597,0.010314219,0.000536757,0.000168366,0.000170525,0.052853265,1.08E-05,0.000107927,7.20E-06,0.291254536,0.017415812,0.55949329,0.009238547,0.003125564
-1,G3100530,310,31053,1406308500,2011,37099800,,57664800,31286700,8824500,3810600,308700,21331800,9000,114300,26100,100007100,6177600,1109181600,28912500,1553400,0.026380983,,0.041004374,0.022247395,0.006274939,0.002709647,0.000219511,0.015168649,6.40E-06,8.13E-05,1.86E-05,0.071113202,0.004392777,0.788718549,0.020559145,0.001104594
-1,G3100550,310,31055,878876100,2011,30775500,,91578600,193140900,89381700,47486700,527400,33983100,,,33300,94986000,751500,273907800,18901800,3421800,0.035016881,,0.10419967,0.219758963,0.101700001,0.054031165,0.000600085,0.038666542,,,3.79E-05,0.108076667,0.000855069,0.311656899,0.021506786,0.003893382
-1,G3100570,310,31057,2385007200,2011,2885400,,58261500,2690100,486900,90900,1658700,2453400,18000,,795600,1420207200,8907300,866213100,17882100,2457000,0.001209808,,0.024428228,0.001127921,0.00020415,3.81E-05,0.00069547,0.001028676,7.55E-06,,0.000333584,0.595472919,0.003734706,0.363190979,0.007497713,0.001030186
-1,G3100590,310,31059,1493226900,2011,10460700,,59017500,10243800,2096100,721800,144900,20992500,,,,124650900,1263600,1252542600,3337200,7755300,0.007005432,,0.039523464,0.006860176,0.001403738,0.000483383,9.70E-05,0.01405848,,,,0.083477534,0.000846221,0.83881599,0.002234891,0.005193651
-1,G3100610,310,31061,1491835500,2011,6973200,,47902500,9043200,632700,189000,746100,13797000,,,,710849700,711000,679078800,20781900,1130400,0.004674242,,0.032109773,0.006061794,0.000424108,0.00012669,0.000500122,0.009248339,,,,0.476493353,0.000476594,0.455196836,0.013930423,0.000757724
-1,G3100630,310,31063,2538378000,2011,15509700,,64908900,5258700,445500,130500,361800,4251600,,3853800,198900,1551985200,2233800,852328800,35375400,1535400,0.006110083,,0.025571014,0.002071677,0.000175506,5.14E-05,0.000142532,0.001674928,,0.001518214,7.84E-05,0.61140823,0.000880011,0.335776941,0.013936222,0.000604874
-1,G3100650,310,31065,1866444300,2011,6345000,,63338400,14844600,1570500,375300,509400,2810700,10800,4500,133200,805041900,1144800,927726300,41804100,784800,0.003399512,,0.033935328,0.007953412,0.00084144,0.000201078,0.000272925,0.001505912,5.79E-06,2.41E-06,7.14E-05,0.431323828,0.000613359,0.497055444,0.022397722,0.000420479
-1,G3100670,310,31067,2227225500,2011,28115100,,83391300,23056200,4803300,2061000,189900,115229700,697500,3220200,781200,522869400,79595100,1357840800,5265900,108900,0.012623374,,0.037441786,0.010351983,0.002156629,0.000925367,8.53E-05,0.051736881,0.00031317,0.001445835,0.00035075,0.234762668,0.035737333,0.609655735,0.002364332,4.89E-05
-1,G3100690,310,31069,4482936000,2011,74922300,,37856700,11126700,1148400,168300,2105100,3029400,5346900,54900,255600,3577924800,15774300,592499700,32763600,127959300,0.016712775,,0.008444622,0.002482012,0.000256171,3.75E-05,0.000469581,0.000675762,0.001192723,1.22E-05,5.70E-05,0.798120874,0.003518743,0.13216778,0.007308514,0.028543637
-1,G3100710,310,31071,1479903300,2011,11575800,,20597400,3196800,611100,163800,2563200,17625600,3105000,1413000,2484000,1290110400,13132800,75796200,15092100,22436100,0.007821998,,0.013918072,0.002160141,0.000412932,0.000110683,0.001732005,0.011909967,0.00209811,0.000954792,0.001678488,0.871753175,0.008874093,0.051216995,0.010198031,0.015160518
-1,G3100730,310,31073,1198445400,2011,15174000,,35971200,5717700,315000,97200,153900,236700,7200,,229500,557052300,,544365900,38097900,1026900,0.012661403,,0.030014884,0.004770931,0.000262841,8.11E-05,0.000128416,0.000197506,6.01E-06,,0.000191498,0.464812414,,0.454226701,0.031789433,0.00085686
-1,G3100750,310,31075,2028535200,2011,24832800,,6129000,3125700,234900,21600,208800,99900,307800,,216900,1852506900,4076100,3330000,3609000,129835800,0.01224174,,0.003021392,0.001540866,0.000115798,1.06E-05,0.000102931,4.92E-05,0.000151735,,0.000106924,0.913223936,0.002009381,0.001641579,0.001779116,0.064004706
-1,G3100770,310,31077,1477993500,2011,5389200,,45809100,7865100,857700,170100,697500,10704600,724500,70200,58500,979240500,7899300,404176500,10800900,3529800,0.003646295,,0.030994115,0.005321471,0.000580314,0.000115088,0.000471924,0.007242657,0.000490192,4.75E-05,3.96E-05,0.66254723,0.005344611,0.273462975,0.007307813,0.002388238
-1,G3100790,310,31079,1430038800,2011,14757300,,74812500,37339200,24366600,8682300,829800,1472400,57600,,1297800,209520000,9207000,953736300,61263900,32696100,0.01031951,,0.052315014,0.02611062,0.017039118,0.006071374,0.000580264,0.001029622,4.03E-05,,0.000907528,0.146513507,0.006438287,0.666930366,0.042840726,0.022863785
-1,G3100810,310,31081,1410881400,2011,10129500,,57919500,12699000,2215800,909900,341100,13462200,32400,36900,40500,106626600,1784700,1180366200,16554600,7762500,0.007179555,,0.041051998,0.009000757,0.001570508,0.000644916,0.000241764,0.009541695,2.30E-05,2.62E-05,2.87E-05,0.07557446,0.001264954,0.836616175,0.011733516,0.00550188
-1,G3100830,310,31083,1486803600,2011,47033100,,52055100,10004400,757800,171900,85500,6661800,,,138600,568247400,2816100,749732400,34013700,15085800,0.031633701,,0.035011416,0.006728797,0.000509684,0.000115617,5.75E-05,0.004480619,,,9.32E-05,0.38219399,0.001894063,0.504257859,0.022877063,0.010146465
-1,G3100850,310,31085,1847411100,2011,1098900,,37171800,435600,52200,4500,178200,2560500,11700,235800,421200,1109345400,45700200,635344200,13657500,1193400,0.000594832,,0.020121022,0.000235789,2.83E-05,2.44E-06,9.65E-05,0.001385994,6.33E-06,0.000127638,0.000227995,0.600486486,0.024737429,0.343910568,0.007392778,0.000645985
-1,G3100870,310,31087,1860833700,2011,13172400,,52182900,2868300,597600,127800,936900,1410300,15300,171900,156600,924612300,2021400,827465400,29134800,5959800,0.007078763,,0.028042753,0.001541406,0.000321146,6.87E-05,0.000503484,0.000757886,8.22E-06,9.24E-05,8.42E-05,0.496880672,0.001086287,0.444674556,0.015656853,0.003202758
-1,G3100890,310,31089,6261293700,2011,41271300,,163920600,15093900,2725200,765900,7263000,64452600,9887400,222300,3234600,4232335500,304337700,1157887800,108789300,149106600,0.006591497,,0.026179989,0.002410668,0.000435246,0.000122323,0.001159984,0.010293815,0.001579131,3.55E-05,0.000516603,0.67595224,0.048606201,0.184927885,0.017374892,0.023814024
-1,G3100910,310,31091,1868662800,2011,3240900,,6683400,2158200,577800,86400,3411000,472500,6678900,56700,217800,1821791700,6454800,2622600,1373400,12836700,0.001734342,,0.003576568,0.001154944,0.000309205,4.62E-05,0.001825369,0.000252855,0.00357416,3.03E-05,0.000116554,0.974917305,0.003454235,0.001403463,0.000734964,0.006869458
-1,G3100930,310,31093,1490759100,2011,20152800,,56213100,16785900,2449800,431100,839700,19132200,3285900,,36900,779351400,12312000,534909600,37029600,7829100,0.013518482,,0.037707702,0.011259968,0.001643324,0.000289182,0.00056327,0.012833864,0.002204179,,2.48E-05,0.52278829,0.00825888,0.358816928,0.024839426,0.005251754
-1,G3100950,310,31095,1491000300,2011,15837300,,55829700,12037500,1935900,630900,433800,78693300,479700,1798200,108000,464581800,21979800,827869500,8354700,430200,0.010621929,,0.037444459,0.008073439,0.00129839,0.000423139,0.000290946,0.052778863,0.00032173,0.001206036,7.24E-05,0.311590682,0.014741647,0.555244355,0.005603419,0.000288531
-1,G3100970,310,31097,975661200,2011,11234700,,36648900,6245100,636300,212400,37800,85964400,462600,911700,855900,428299200,70994700,322056900,10234800,865800,0.01151496,,0.037563142,0.00640089,0.000652173,0.000217699,3.87E-05,0.088108864,0.00047414,0.000934443,0.000877251,0.438983532,0.072765731,0.330090917,0.010490117,0.000887398
-1,G3100990,310,31099,1337354100,2011,2633400,,47198700,11493000,1608300,479700,245700,798300,,,309600,160433100,8114400,1091169900,11331000,1539000,0.001969112,,0.035292598,0.008593835,0.001202598,0.000358693,0.000183721,0.000596925,,,0.000231502,0.119963067,0.006067503,0.815916966,0.0084727,0.00115078
-1,G3101010,310,31101,2874210300,2011,130018500,,62070300,10368900,2536200,610200,4284900,5065200,1125900,291600,1539000,1697356800,14060700,873236700,46682100,24963300,0.045236252,,0.021595601,0.003607565,0.000882399,0.000212302,0.001490809,0.001762293,0.000391725,0.000101454,0.000535451,0.590547184,0.004892022,0.303817957,0.016241713,0.008685273
-1,G3101030,310,31103,2004471000,2011,13848300,,52806600,1940400,143100,42300,83700,76015800,61728300,20672100,297000,1494666900,21960900,138581100,40872600,80811900,0.006908706,,0.026344407,0.000968036,7.14E-05,2.11E-05,4.18E-05,0.037923123,0.030795307,0.010312995,0.000148169,0.745666513,0.010955958,0.069135996,0.020390717,0.040315824
-1,G3101050,310,31105,2466711000,2011,1647900,,75750300,5919300,1090800,299700,1296900,359100,373500,8100,962100,1221208200,24545700,1125763200,3019500,4466700,0.000668056,,0.030709029,0.002399673,0.000442208,0.000121498,0.000525761,0.000145578,0.000151416,3.28E-06,0.000390034,0.495075507,0.009950781,0.456382284,0.0012241,0.001810792
-1,G3101070,310,31107,2951856900,2011,99903600,,101182500,12718800,1289700,335700,1324800,171835200,13660200,9000,,1487230200,48855600,938196000,36633600,38682000,0.033844324,,0.034277576,0.004308745,0.000436911,0.000113725,0.000448802,0.058212578,0.004627663,3.05E-06,,0.503828692,0.016550802,0.31783248,0.012410358,0.013104294
-1,G3101090,310,31109,2192183100,2011,36538200,,106515000,114515100,58525200,26419500,324000,100638000,227700,1489500,1583100,578186100,70825500,1083808800,11870100,717300,0.016667495,,0.048588551,0.052237927,0.026697223,0.012051685,0.000147798,0.045907662,0.000103869,0.00067946,0.000722157,0.263749,0.032308205,0.494397024,0.005414739,0.000327208
-1,G3101110,310,31111,6669527400,2011,56898900,,149627700,32439600,9828900,3757500,4667400,16708500,14457600,39491100,13671000,4726094400,43974000,1378116900,130463100,49330800,0.008531174,,0.022434528,0.004863853,0.001473703,0.000563383,0.00069981,0.0025052,0.00216771,0.005921124,0.00204977,0.708610088,0.006593271,0.206628868,0.019561071,0.007396446
-1,G3101130,310,31113,1479199500,2011,2702700,,17175600,1639800,93600,27000,791100,421200,931500,181800,38700,1273736700,6777000,118601100,4916700,51165000,0.001827137,,0.011611415,0.001108573,6.33E-05,1.83E-05,0.000534816,0.000284749,0.000629733,0.000122904,2.62E-05,0.861098655,0.004581532,0.080179246,0.003323892,0.034589655
-1,G3101150,310,31115,1479083400,2011,27066600,,23253300,3576600,127800,15300,1356300,5796000,396000,1130400,202500,1327891500,7412400,51928200,11376900,17553600,0.018299577,,0.015721426,0.002418119,8.64E-05,1.03E-05,0.000916987,0.003918643,0.000267733,0.000764257,0.000136909,0.897780003,0.005011482,0.035108365,0.007691858,0.011867891
-1,G3101170,310,31117,2227413600,2011,7728300,,5847300,386100,11700,1800,1125900,83700,548100,5400,106200,2143154700,8905500,33755400,990900,24762600,0.00346963,,0.002625152,0.00017334,5.25E-06,8.08E-07,0.000505474,3.76E-05,0.00024607,2.42E-06,4.77E-05,0.962171866,0.003998135,0.015154527,0.000444866,0.011117199
-1,G3101190,310,31119,1490396400,2011,11180700,,61609500,24675300,7940700,4092300,1219500,32841000,,,4500,284269500,968400,1042787700,17838000,969300,0.00750183,,0.04133766,0.016556199,0.005327911,0.00274578,0.000818239,0.022035077,,,3.02E-06,0.190734156,0.00064976,0.699671376,0.011968628,0.000650364
-1,G3101210,310,31121,1286710200,2011,22618800,,49229100,20502000,1878300,645300,382500,3311100,27000,,257400,191326500,36815400,856223100,73318500,30175200,0.017578783,,0.038259664,0.015933658,0.001459769,0.000501512,0.00029727,0.002573307,2.10E-05,,0.000200045,0.148694321,0.028612037,0.665435853,0.056981362,0.023451435
